"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test authentication with malformed credentials.","109","test_malformed_credentials[malformed_credentials2]","tests","Mon Sep 29 23:25:39 UTC 2025","passed","Mon Sep 29 23:25:39 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test user creation with various invalid data scenarios.","85","test_create_user_invalid_data[test_case3]","tests","Mon Sep 29 23:25:39 UTC 2025","passed","Mon Sep 29 23:25:39 UTC 2025","TestUserCreation","test_users_crud","",""
"Test successful user creation with valid data.","87","test_create_user_with_valid_data","tests","Mon Sep 29 23:25:38 UTC 2025","passed","Mon Sep 29 23:25:38 UTC 2025","TestUserCreation","test_users_crud","",""
"Test login with non-existent email returns error.","87","test_login_with_invalid_email_returns_error","tests","Mon Sep 29 23:25:38 UTC 2025","passed","Mon Sep 29 23:25:38 UTC 2025","","test_auth_login","",""
"","27","test_list_users_returns_expected_schema[1]","tests","Mon Sep 29 23:25:49 UTC 2025","passed","Mon Sep 29 23:25:49 UTC 2025","","test_users_smoke","",""
"Test user creation with additional fields.","87","test_create_user_with_extra_fields","tests","Mon Sep 29 23:25:39 UTC 2025","passed","Mon Sep 29 23:25:39 UTC 2025","TestUserCreation","test_users_crud","",""
"Test authentication with malformed credentials.","89","test_malformed_credentials[malformed_credentials1]","tests","Mon Sep 29 23:25:39 UTC 2025","passed","Mon Sep 29 23:25:39 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test retrieving users with invalid or non-existent IDs.","167","test_get_user_negative_cases[NON_EXISTENT_USER-NOT_FOUND]","tests","Mon Sep 29 23:25:39 UTC 2025","passed","Mon Sep 29 23:25:39 UTC 2025","TestUserRetrieval","test_users_crud","",""
"Test authentication with malformed credentials.","98","test_malformed_credentials[malformed_credentials3]","tests","Mon Sep 29 23:25:39 UTC 2025","passed","Mon Sep 29 23:25:39 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test retrieving users with invalid or non-existent IDs.","165","test_get_user_negative_cases[INVALID_USER-NOT_FOUND]","tests","Mon Sep 29 23:25:39 UTC 2025","passed","Mon Sep 29 23:25:39 UTC 2025","TestUserRetrieval","test_users_crud","",""
"Test retrieving an existing user by ID.","21","test_get_existing_user","tests","Mon Sep 29 23:25:39 UTC 2025","passed","Mon Sep 29 23:25:39 UTC 2025","TestUserRetrieval","test_users_crud","",""
"Test login with missing password returns 400 error.","86","test_login_with_missing_password_returns_error","tests","Mon Sep 29 23:25:38 UTC 2025","passed","Mon Sep 29 23:25:38 UTC 2025","","test_auth_login","",""
"Test API access with invalid authentication.","53","test_invalid_api_key","tests","Mon Sep 29 23:25:40 UTC 2025","passed","Mon Sep 29 23:25:40 UTC 2025","TestBasicAuthenticationSecurity","test_users_security","",""
