"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that user creation responds within acceptable time.","86","test_create_user_response_time","tests","Tue Sep 30 00:37:01 UTC 2025","passed","Tue Sep 30 00:37:01 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","84","test_create_user_invalid_data[test_case1]","tests","Tue Sep 30 00:36:44 UTC 2025","passed","Tue Sep 30 00:36:44 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test users list endpoint.","94","test_get_users_list","tests","Tue Sep 30 00:36:47 UTC 2025","passed","Tue Sep 30 00:36:48 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test that login responds within acceptable time.","87","test_login_response_time","tests","Tue Sep 30 00:37:02 UTC 2025","passed","Tue Sep 30 00:37:02 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","90","test_create_user_invalid_data[test_case2]","tests","Tue Sep 30 00:36:45 UTC 2025","passed","Tue Sep 30 00:36:45 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test logout endpoint returns success.","87","test_logout_returns_success","tests","Tue Sep 30 00:36:59 UTC 2025","passed","Tue Sep 30 00:36:59 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test login with non-existent email returns error.","88","test_login_with_invalid_email_returns_error","tests","Tue Sep 30 00:36:57 UTC 2025","passed","Tue Sep 30 00:36:57 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test updating a user that doesn't exist.","89","test_update_non_existent_user","tests","Tue Sep 30 00:36:51 UTC 2025","passed","Tue Sep 30 00:36:51 UTC 2025","TestUserUpdate","test_api_endpoints","",""
"Test login with empty JSON payload returns error.","87","test_login_with_empty_payload_returns_error","tests","Tue Sep 30 00:36:58 UTC 2025","passed","Tue Sep 30 00:36:58 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","90","test_create_user_with_unicode_and_special_chars[UNICODE_CHARS-\u5f20\u4e09\u674e\u56db]","tests","Tue Sep 30 00:36:46 UTC 2025","passed","Tue Sep 30 00:36:46 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test deleting a user with an invalid ID.","85","test_delete_user_with_invalid_id","tests","Tue Sep 30 00:36:54 UTC 2025","passed","Tue Sep 30 00:36:54 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test successful user update.","161","test_update_existing_user","tests","Tue Sep 30 00:36:50 UTC 2025","passed","Tue Sep 30 00:36:50 UTC 2025","TestUserUpdate","test_api_endpoints","",""
"Test that users list responds within acceptable time.","15","test_get_users_list_response_time","tests","Tue Sep 30 00:37:01 UTC 2025","passed","Tue Sep 30 00:37:01 UTC 2025","TestPerformance","test_api_endpoints","",""
