"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test deleting a user that doesn't exist.","62909","test_delete_non_existent_user","tests","Sun Oct 05 22:46:45 UTC 2025","failed","Sun Oct 05 22:47:48 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"","1000","GET /api/users/{id}","","Sun Oct 05 22:54:31 UTC 2025","passed","Sun Oct 05 22:54:32 UTC 2025","","Performance Tests","LocustLoadTest",""
"Test retrieving users with invalid or non-existent IDs.","31713","test_get_user_negative_cases[NON_EXISTENT_USER-NOT_FOUND]","tests","Sun Oct 05 22:51:23 UTC 2025","passed","Sun Oct 05 22:51:55 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","279606","test_create_user_invalid_data[test_case2]","tests","Sun Oct 05 22:36:15 UTC 2025","skipped","Sun Oct 05 22:40:55 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test successful login with valid email and password returns a token.","88","test_login_with_valid_credentials_returns_token","tests","Sun Oct 05 22:50:00 UTC 2025","passed","Sun Oct 05 22:50:00 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","290880","test_create_user_invalid_data[test_case5]","tests","Sun Oct 05 22:31:42 UTC 2025","skipped","Sun Oct 05 22:36:33 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test successful user update.","287327","test_update_existing_user","tests","Sun Oct 05 22:36:48 UTC 2025","skipped","Sun Oct 05 22:41:36 UTC 2025","TestUserUpdate","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","288239","test_create_user_with_unicode_and_special_chars[UNICODE_CHARS-\u5f20\u4e09\u674e\u56db]","tests","Sun Oct 05 22:41:45 UTC 2025","failed","Sun Oct 05 22:46:33 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","284177","test_create_user_invalid_data[test_case1]","tests","Sun Oct 05 22:31:31 UTC 2025","skipped","Sun Oct 05 22:36:15 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with empty string (should fail validation).","286683","test_create_user_with_empty_string","tests","Sun Oct 05 22:46:33 UTC 2025","failed","Sun Oct 05 22:51:20 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","48634","test_create_user_with_unicode_and_special_chars[SPECIAL_CHARS-Jos\xe9 Mar\xeda O'Connor-Smith]","tests","Sun Oct 05 22:40:56 UTC 2025","passed","Sun Oct 05 22:41:44 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","290295","test_create_user_invalid_data[test_case3]","tests","Sun Oct 05 22:26:41 UTC 2025","skipped","Sun Oct 05 22:31:31 UTC 2025","TestUserCreation","test_api_endpoints","",""
"","1000","POST /api/users","","Sun Oct 05 22:54:31 UTC 2025","passed","Sun Oct 05 22:54:32 UTC 2025","","Performance Tests","LocustLoadTest",""
"Test successful user deletion.","15402","test_delete_existing_user","tests","Sun Oct 05 22:46:30 UTC 2025","passed","Sun Oct 05 22:46:45 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test successful user creation with valid data.","141","test_create_user_with_valid_data","tests","Sun Oct 05 22:26:41 UTC 2025","passed","Sun Oct 05 22:26:41 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with additional fields.","9804","test_create_user_with_extra_fields","tests","Sun Oct 05 22:36:34 UTC 2025","passed","Sun Oct 05 22:36:43 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test retrieving users with invalid or non-existent IDs.","63497","test_get_user_negative_cases[INVALID_USER-NOT_FOUND]","tests","Sun Oct 05 22:51:55 UTC 2025","failed","Sun Oct 05 22:52:59 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test deleting a user with an invalid ID.","62462","test_delete_user_with_invalid_id","tests","Sun Oct 05 22:48:55 UTC 2025","failed","Sun Oct 05 22:49:57 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test deleting a user twice (idempotency test).","65457","test_delete_user_twice","tests","Sun Oct 05 22:47:49 UTC 2025","failed","Sun Oct 05 22:48:54 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test retrieving an existing user by ID.","21","test_get_existing_user","tests","Sun Oct 05 22:51:23 UTC 2025","failed","Sun Oct 05 22:51:23 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","9957","test_create_user_invalid_data[test_case4]","tests","Sun Oct 05 22:31:32 UTC 2025","passed","Sun Oct 05 22:31:42 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","288697","test_create_user_invalid_data[test_case0]","tests","Sun Oct 05 22:26:42 UTC 2025","skipped","Sun Oct 05 22:31:30 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test updating a user that doesn't exist.","290799","test_update_non_existent_user","tests","Sun Oct 05 22:41:36 UTC 2025","skipped","Sun Oct 05 22:46:27 UTC 2025","TestUserUpdate","test_api_endpoints","",""
"","1000","GET /api/users","","Sun Oct 05 22:54:31 UTC 2025","passed","Sun Oct 05 22:54:32 UTC 2025","","Performance Tests","LocustLoadTest",""
"Test users list endpoint.","26","test_get_users_list","tests","Sun Oct 05 22:36:46 UTC 2025","failed","Sun Oct 05 22:36:46 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
