"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test deleting a user that doesn't exist.","63401","test_delete_non_existent_user","tests","Sat Oct 04 03:22:08 UTC 2025","failed","Sat Oct 04 03:23:11 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"","1000","GET /api/users/{id}","","Sat Oct 04 03:24:42 UTC 2025","passed","Sat Oct 04 03:24:43 UTC 2025","","Performance Tests","LocustLoadTest",""
"","1000","GET /api/users","","Sat Oct 04 03:24:42 UTC 2025","passed","Sat Oct 04 03:24:43 UTC 2025","","Performance Tests","LocustLoadTest",""
"Test user creation with various invalid data scenarios.","290600","test_create_user_invalid_data[test_case0]","tests","Sat Oct 04 03:00:27 UTC 2025","skipped","Sat Oct 04 03:05:18 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","289619","test_create_user_with_unicode_and_special_chars[UNICODE_CHARS-\u5f20\u4e09\u674e\u56db]","tests","Sat Oct 04 03:05:51 UTC 2025","failed","Sat Oct 04 03:10:41 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test users list endpoint.","63119","test_get_users_list","tests","Sat Oct 04 03:14:58 UTC 2025","failed","Sat Oct 04 03:16:01 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","285","test_create_user_invalid_data[test_case3]","tests","Sat Oct 04 02:55:37 UTC 2025","passed","Sat Oct 04 02:55:37 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test successful user deletion.","64097","test_delete_existing_user","tests","Sat Oct 04 03:21:03 UTC 2025","skipped","Sat Oct 04 03:22:07 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test user creation with additional fields.","291011","test_create_user_with_extra_fields","tests","Sat Oct 04 03:00:49 UTC 2025","failed","Sat Oct 04 03:05:40 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test retrieving users with invalid or non-existent IDs.","63036","test_get_user_negative_cases[INVALID_USER-NOT_FOUND]","tests","Sat Oct 04 03:11:58 UTC 2025","failed","Sat Oct 04 03:13:01 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","285761","test_create_user_invalid_data[test_case2]","tests","Sat Oct 04 03:10:09 UTC 2025","skipped","Sat Oct 04 03:14:55 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","286891","test_create_user_invalid_data[test_case4]","tests","Sat Oct 04 02:55:38 UTC 2025","skipped","Sat Oct 04 03:00:25 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test successful user creation with valid data.","289701","test_create_user_with_valid_data","tests","Sat Oct 04 02:55:37 UTC 2025","failed","Sat Oct 04 03:00:27 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test updating a user that doesn't exist.","10257","test_update_non_existent_user","tests","Sat Oct 04 03:20:51 UTC 2025","passed","Sat Oct 04 03:21:01 UTC 2025","TestUserUpdate","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","290640","test_create_user_invalid_data[test_case1]","tests","Sat Oct 04 03:05:18 UTC 2025","skipped","Sat Oct 04 03:10:09 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test successful user update.","286746","test_update_existing_user","tests","Sat Oct 04 03:16:03 UTC 2025","skipped","Sat Oct 04 03:20:50 UTC 2025","TestUserUpdate","test_api_endpoints","",""
"Test retrieving an existing user by ID.","37","test_get_existing_user","tests","Sat Oct 04 03:10:54 UTC 2025","failed","Sat Oct 04 03:10:54 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"","1000","POST /api/users","","Sat Oct 04 03:24:42 UTC 2025","passed","Sat Oct 04 03:24:43 UTC 2025","","Performance Tests","LocustLoadTest",""
"Test user creation with empty string (should fail validation).","9823","test_create_user_with_empty_string","tests","Sat Oct 04 03:10:41 UTC 2025","passed","Sat Oct 04 03:10:51 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test retrieving users with invalid or non-existent IDs.","63613","test_get_user_negative_cases[NON_EXISTENT_USER-NOT_FOUND]","tests","Sat Oct 04 03:10:54 UTC 2025","failed","Sat Oct 04 03:11:58 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","23322","test_create_user_invalid_data[test_case5]","tests","Sat Oct 04 03:00:25 UTC 2025","passed","Sat Oct 04 03:00:48 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","10142","test_create_user_with_unicode_and_special_chars[SPECIAL_CHARS-Jos\xe9 Mar\xeda O'Connor-Smith]","tests","Sat Oct 04 03:05:40 UTC 2025","passed","Sat Oct 04 03:05:51 UTC 2025","TestUserCreation","test_api_endpoints","",""
