"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test basic token validation behavior.","24","test_basic_token_validation","tests","Mon Sep 29 23:41:26 UTC 2025","passed","Mon Sep 29 23:41:26 UTC 2025","TestBasicAuthenticationSecurity","test_users_security","",""
"Test authentication with malformed credentials.","160","test_malformed_credentials[malformed_credentials2]","tests","Mon Sep 29 23:41:14 UTC 2025","passed","Mon Sep 29 23:41:14 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test users list with different page numbers.","33","test_get_users_list_pagination[2]","tests","Mon Sep 29 23:41:16 UTC 2025","passed","Mon Sep 29 23:41:16 UTC 2025","TestUserRetrieval","test_users_crud","",""
"Test API access without authentication.","71","test_missing_api_key","tests","Mon Sep 29 23:41:26 UTC 2025","passed","Mon Sep 29 23:41:26 UTC 2025","TestBasicAuthenticationSecurity","test_users_security","",""
"Test API access with invalid authentication.","52","test_invalid_api_key","tests","Mon Sep 29 23:41:26 UTC 2025","passed","Mon Sep 29 23:41:26 UTC 2025","TestBasicAuthenticationSecurity","test_users_security","",""
"Test authentication with malformed credentials.","159","test_malformed_credentials[malformed_credentials1]","tests","Mon Sep 29 23:41:14 UTC 2025","passed","Mon Sep 29 23:41:14 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test users list with invalid page parameter.","304","test_get_users_list_invalid_page","tests","Mon Sep 29 23:41:16 UTC 2025","passed","Mon Sep 29 23:41:17 UTC 2025","TestUserRetrieval","test_users_crud","",""
"Test basic input sanitization.","7930","test_basic_input_sanitization","tests","Mon Sep 29 23:41:42 UTC 2025","failed","Mon Sep 29 23:41:50 UTC 2025","TestBasicInputValidationSecurity","test_users_security","",""
"Test user creation with various invalid data scenarios.","155","test_create_user_invalid_data[test_case4]","tests","Mon Sep 29 23:41:15 UTC 2025","passed","Mon Sep 29 23:41:15 UTC 2025","TestUserCreation","test_users_crud","",""
"Test basic SQL injection protection.","7900","test_basic_sql_injection_protection['; UPDATE users SET admin=1; --]","tests","Mon Sep 29 23:41:42 UTC 2025","failed","Mon Sep 29 23:41:50 UTC 2025","TestBasicInputValidationSecurity","test_users_security","",""
"Test authentication with malformed credentials.","159","test_malformed_credentials[malformed_credentials4]","tests","Mon Sep 29 23:41:15 UTC 2025","passed","Mon Sep 29 23:41:15 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test unauthorized access attempts.","23","test_unauthorized_access","tests","Mon Sep 29 23:41:50 UTC 2025","passed","Mon Sep 29 23:41:50 UTC 2025","TestBasicAccessControlSecurity","test_users_security","",""
"","32","test_single_user_response_matches_schema","tests","Mon Sep 29 23:41:58 UTC 2025","passed","Mon Sep 29 23:41:58 UTC 2025","","test_users_smoke","",""
"Test user creation with various invalid data scenarios.","156","test_create_user_invalid_data[test_case2]","tests","Mon Sep 29 23:41:14 UTC 2025","passed","Mon Sep 29 23:41:14 UTC 2025","TestUserCreation","test_users_crud","",""
