"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test deleting a user with an invalid ID.","142","test_delete_user_with_invalid_id","tests","Wed Oct 01 03:15:49 UTC 2025","passed","Wed Oct 01 03:15:49 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","145","test_create_user_invalid_data[test_case2]","tests","Wed Oct 01 03:15:39 UTC 2025","passed","Wed Oct 01 03:15:40 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test that user deletion responds within acceptable time.","143","test_delete_user_response_time","tests","Wed Oct 01 03:15:58 UTC 2025","passed","Wed Oct 01 03:15:58 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","144","test_create_user_with_unicode_and_special_chars[UNICODE_CHARS-\u5f20\u4e09\u674e\u56db]","tests","Wed Oct 01 03:15:41 UTC 2025","passed","Wed Oct 01 03:15:41 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test login with non-existent email returns error.","146","test_login_with_invalid_email_returns_error","tests","Wed Oct 01 03:15:52 UTC 2025","passed","Wed Oct 01 03:15:52 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test user creation with additional fields.","144","test_create_user_with_extra_fields","tests","Wed Oct 01 03:15:39 UTC 2025","passed","Wed Oct 01 03:15:40 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test that registration responds within acceptable time.","145","test_register_response_time","tests","Wed Oct 01 03:15:59 UTC 2025","passed","Wed Oct 01 03:15:59 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test retrieving users with invalid or non-existent IDs.","283","test_get_user_negative_cases[INVALID_USER-NOT_FOUND]","tests","Wed Oct 01 03:15:45 UTC 2025","passed","Wed Oct 01 03:15:46 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test registration with missing password returns 400 error.","147","test_register_with_missing_password_returns_error","tests","Wed Oct 01 03:15:53 UTC 2025","passed","Wed Oct 01 03:15:53 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","143","test_create_user_invalid_data[test_case5]","tests","Wed Oct 01 03:15:39 UTC 2025","passed","Wed Oct 01 03:15:39 UTC 2025","TestUserCreation","test_api_endpoints","",""
