"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test various update scenarios including edge cases.","7896","test_update_user_variations[test_case1]","tests","Mon Sep 29 23:44:58 UTC 2025","failed","Mon Sep 29 23:45:06 UTC 2025","TestUserUpdate","test_users_crud","",""
"Test refresh token flow simulation.","171","test_refresh_token_simulation","tests","Mon Sep 29 23:44:40 UTC 2025","passed","Mon Sep 29 23:44:40 UTC 2025","TestRefreshTokenFlow","test_auth_login","",""
"Test basic XSS injection protection.","14","test_basic_xss_protection['; DROP TABLE users; --]","tests","Mon Sep 29 23:44:42 UTC 2025","passed","Mon Sep 29 23:44:42 UTC 2025","TestBasicInputValidationSecurity","test_users_security","",""
"Test basic authorization checks.","7704","test_basic_authorization","tests","Mon Sep 29 23:44:42 UTC 2025","failed","Mon Sep 29 23:44:50 UTC 2025","TestBasicAccessControlSecurity","test_users_security","",""
"Test basic input sanitization.","85","test_basic_input_sanitization","tests","Mon Sep 29 23:44:42 UTC 2025","passed","Mon Sep 29 23:44:42 UTC 2025","TestBasicInputValidationSecurity","test_users_security","",""
"Test user creation with additional fields.","85","test_create_user_with_extra_fields","tests","Mon Sep 29 23:44:41 UTC 2025","passed","Mon Sep 29 23:44:41 UTC 2025","TestUserCreation","test_users_crud","",""
"Test deleting a user that doesn't exist.","85","test_delete_non_existent_user","tests","Mon Sep 29 23:44:41 UTC 2025","passed","Mon Sep 29 23:44:42 UTC 2025","TestUserDeletion","test_users_crud","",""
"Test authentication with malformed credentials.","87","test_malformed_credentials[malformed_credentials4]","tests","Mon Sep 29 23:44:41 UTC 2025","passed","Mon Sep 29 23:44:41 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test users list with different page numbers.","22","test_get_users_list_pagination[3]","tests","Mon Sep 29 23:44:41 UTC 2025","passed","Mon Sep 29 23:44:41 UTC 2025","TestUserRetrieval","test_users_crud","",""
"Test basic SQL injection protection.","96","test_basic_sql_injection_protection['; UPDATE users SET admin=1; --]","tests","Mon Sep 29 23:44:42 UTC 2025","passed","Mon Sep 29 23:44:42 UTC 2025","TestBasicInputValidationSecurity","test_users_security","",""
"Test unauthorized access attempts.","14","test_unauthorized_access","tests","Mon Sep 29 23:44:42 UTC 2025","passed","Mon Sep 29 23:44:42 UTC 2025","TestBasicAccessControlSecurity","test_users_security","",""
"Test retrieving an existing user by ID.","21","test_get_existing_user","tests","Mon Sep 29 23:44:41 UTC 2025","passed","Mon Sep 29 23:44:41 UTC 2025","TestUserRetrieval","test_users_crud","",""
"Test successful user deletion.","7517","test_delete_existing_user","tests","Mon Sep 29 23:45:14 UTC 2025","failed","Mon Sep 29 23:45:21 UTC 2025","TestUserDeletion","test_users_crud","",""
"Test protection against brute force attacks.","1851","test_authentication_brute_force_protection","tests","Mon Sep 29 23:44:41 UTC 2025","passed","Mon Sep 29 23:44:43 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test user creation with various invalid data scenarios.","86","test_create_user_invalid_data[test_case3]","tests","Mon Sep 29 23:44:40 UTC 2025","passed","Mon Sep 29 23:44:41 UTC 2025","TestUserCreation","test_users_crud","",""
"Test various update scenarios including edge cases.","7637","test_update_user_variations[test_case0]","tests","Mon Sep 29 23:44:51 UTC 2025","failed","Mon Sep 29 23:44:58 UTC 2025","TestUserUpdate","test_users_crud","",""
"Test that returned tokens have proper structure.","85","test_token_validation_structure","tests","Mon Sep 29 23:44:40 UTC 2025","passed","Mon Sep 29 23:44:40 UTC 2025","TestTokenExpiration","test_auth_login","",""
"Test users list with different page numbers.","25","test_get_users_list_pagination[1]","tests","Mon Sep 29 23:44:41 UTC 2025","passed","Mon Sep 29 23:44:41 UTC 2025","TestUserRetrieval","test_users_crud","",""
"Test handling of expired or invalid tokens.","15","test_token_expiration_handling[None]","tests","Mon Sep 29 23:44:40 UTC 2025","passed","Mon Sep 29 23:44:40 UTC 2025","TestTokenExpiration","test_auth_login","",""
"Test case sensitivity of credentials.","7843","test_case_sensitive_credentials","tests","Mon Sep 29 23:44:43 UTC 2025","failed","Mon Sep 29 23:44:51 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"","23","test_list_users_returns_expected_schema[1]","tests","Mon Sep 29 23:45:06 UTC 2025","passed","Mon Sep 29 23:45:06 UTC 2025","","test_users_smoke","",""
"","22","test_list_resources_response_matches_schema","tests","Mon Sep 29 23:45:06 UTC 2025","passed","Mon Sep 29 23:45:06 UTC 2025","","test_users_smoke","",""
"Test user creation with various invalid data scenarios.","85","test_create_user_invalid_data[test_case1]","tests","Mon Sep 29 23:44:40 UTC 2025","passed","Mon Sep 29 23:44:40 UTC 2025","TestUserCreation","test_users_crud","",""
