"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test user creation with additional fields.","90","test_create_user_with_extra_fields","tests","Thu Oct 02 03:01:54 UTC 2025","failed","Thu Oct 02 03:01:54 UTC 2025","TestUserCreation","test_api_endpoints","",""
"","1000","GET /api/users","","Thu Oct 02 03:03:21 UTC 2025","passed","Thu Oct 02 03:03:22 UTC 2025","","Performance Tests","LocustLoadTest",""
"","1000","GET /api/users/{id}","","Thu Oct 02 03:03:21 UTC 2025","passed","Thu Oct 02 03:03:22 UTC 2025","","Performance Tests","LocustLoadTest",""
"Test user creation with various invalid data scenarios.","89","test_create_user_invalid_data[test_case1]","tests","Thu Oct 02 03:01:53 UTC 2025","failed","Thu Oct 02 03:01:53 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","88","test_create_user_invalid_data[test_case2]","tests","Thu Oct 02 03:01:54 UTC 2025","failed","Thu Oct 02 03:01:54 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test successful user creation with valid data.","138","test_create_user_with_valid_data","tests","Thu Oct 02 03:01:52 UTC 2025","failed","Thu Oct 02 03:01:52 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","141","test_create_user_invalid_data[test_case3]","tests","Thu Oct 02 03:01:52 UTC 2025","failed","Thu Oct 02 03:01:52 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","90","test_create_user_invalid_data[test_case5]","tests","Thu Oct 02 03:01:53 UTC 2025","failed","Thu Oct 02 03:01:53 UTC 2025","TestUserCreation","test_api_endpoints","",""
"","1000","POST /api/users","","Thu Oct 02 03:03:21 UTC 2025","passed","Thu Oct 02 03:03:22 UTC 2025","","Performance Tests","LocustLoadTest",""
"Test user creation with various invalid data scenarios.","88","test_create_user_invalid_data[test_case0]","tests","Thu Oct 02 03:01:53 UTC 2025","failed","Thu Oct 02 03:01:53 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","92","test_create_user_invalid_data[test_case4]","tests","Thu Oct 02 03:01:53 UTC 2025","failed","Thu Oct 02 03:01:53 UTC 2025","TestUserCreation","test_api_endpoints","",""
