"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test retrieving users with invalid or non-existent IDs.","190","test_get_user_negative_cases[INVALID_USER-NOT_FOUND]","tests","Mon Sep 29 23:48:33 UTC 2025","passed","Mon Sep 29 23:48:34 UTC 2025","TestUserRetrieval","test_users_crud","",""
"Test basic XSS injection protection.","31467","test_basic_xss_protection[<script>alert('xss')</script>]","tests","Mon Sep 29 23:49:02 UTC 2025","passed","Mon Sep 29 23:49:33 UTC 2025","TestBasicInputValidationSecurity","test_users_security","",""
"Test handling of expired or invalid tokens.","27","test_token_expiration_handling[invalid.token.format]","tests","Mon Sep 29 23:48:46 UTC 2025","passed","Mon Sep 29 23:48:46 UTC 2025","TestTokenExpiration","test_auth_login","",""
"Test authentication with malformed credentials.","175","test_malformed_credentials[malformed_credentials2]","tests","Mon Sep 29 23:48:51 UTC 2025","passed","Mon Sep 29 23:48:51 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test login with non-existent email returns error.","103","test_login_with_invalid_email_returns_error","tests","Mon Sep 29 23:48:42 UTC 2025","passed","Mon Sep 29 23:48:42 UTC 2025","","test_auth_login","",""
"Test user creation with various invalid data scenarios.","176","test_create_user_invalid_data[test_case5]","tests","Mon Sep 29 23:48:34 UTC 2025","passed","Mon Sep 29 23:48:34 UTC 2025","TestUserCreation","test_users_crud","",""
"Test that returned tokens have proper structure.","101","test_token_validation_structure","tests","Mon Sep 29 23:48:48 UTC 2025","passed","Mon Sep 29 23:48:48 UTC 2025","TestTokenExpiration","test_auth_login","",""
"Test that single user endpoint returns expected schema and data.","39","test_single_user_response_matches_schema","tests","Mon Sep 29 23:48:38 UTC 2025","passed","Mon Sep 29 23:48:38 UTC 2025","TestUserRetrieval","test_users_crud","",""
"Test user creation with various invalid data scenarios.","176","test_create_user_invalid_data[test_case0]","tests","Mon Sep 29 23:48:30 UTC 2025","passed","Mon Sep 29 23:48:30 UTC 2025","TestUserCreation","test_users_crud","",""
"Test successful user update.","321","test_update_existing_user","tests","Mon Sep 29 23:48:42 UTC 2025","passed","Mon Sep 29 23:48:42 UTC 2025","TestUserUpdate","test_users_crud","",""
"Test case sensitivity of credentials.","65583","test_case_sensitive_credentials","tests","Mon Sep 29 23:48:56 UTC 2025","passed","Mon Sep 29 23:50:02 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test users list with invalid page parameter.","331","test_get_users_list_invalid_page","tests","Mon Sep 29 23:48:36 UTC 2025","passed","Mon Sep 29 23:48:37 UTC 2025","TestUserRetrieval","test_users_crud","",""
