"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login with missing password returns 400 error.","327","test_login_with_missing_password_returns_error","tests","Tue Sep 30 00:40:14 UTC 2025","passed","Tue Sep 30 00:40:14 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test successful user deletion.","183","test_delete_existing_user","tests","Tue Sep 30 00:40:10 UTC 2025","passed","Tue Sep 30 00:40:11 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test successful user update.","341","test_update_existing_user","tests","Tue Sep 30 00:40:07 UTC 2025","passed","Tue Sep 30 00:40:07 UTC 2025","TestUserUpdate","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","180","test_create_user_with_unicode_and_special_chars[UNICODE_CHARS-\u5f20\u4e09\u674e\u56db]","tests","Tue Sep 30 00:40:03 UTC 2025","passed","Tue Sep 30 00:40:03 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test that user update responds within acceptable time.","184","test_update_user_response_time","tests","Tue Sep 30 00:40:20 UTC 2025","passed","Tue Sep 30 00:40:20 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test user creation with empty string (should fail validation).","180","test_create_user_with_empty_string","tests","Tue Sep 30 00:40:04 UTC 2025","passed","Tue Sep 30 00:40:04 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test that user creation responds within acceptable time.","177","test_create_user_response_time","tests","Tue Sep 30 00:40:19 UTC 2025","passed","Tue Sep 30 00:40:19 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test successful login with valid email and password returns a token.","181","test_login_with_valid_credentials_returns_token","tests","Tue Sep 30 00:40:14 UTC 2025","passed","Tue Sep 30 00:40:14 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test registration with invalid email returns error.","179","test_register_with_invalid_email_returns_error","tests","Tue Sep 30 00:40:16 UTC 2025","passed","Tue Sep 30 00:40:16 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test registration with missing password returns 400 error.","181","test_register_with_missing_password_returns_error","tests","Tue Sep 30 00:40:16 UTC 2025","passed","Tue Sep 30 00:40:16 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test that API response times meet basic SLA requirements.","575","test_basic_response_time_sla","tests","Tue Sep 30 00:40:21 UTC 2025","passed","Tue Sep 30 00:40:22 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test login with non-existent email returns error.","185","test_login_with_invalid_email_returns_error","tests","Tue Sep 30 00:40:15 UTC 2025","passed","Tue Sep 30 00:40:15 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","176","test_create_user_invalid_data[test_case4]","tests","Tue Sep 30 00:40:00 UTC 2025","passed","Tue Sep 30 00:40:01 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","190","test_create_user_invalid_data[test_case2]","tests","Tue Sep 30 00:40:02 UTC 2025","passed","Tue Sep 30 00:40:02 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with additional fields.","178","test_create_user_with_extra_fields","tests","Tue Sep 30 00:40:02 UTC 2025","passed","Tue Sep 30 00:40:02 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test deleting a user that doesn't exist.","182","test_delete_non_existent_user","tests","Tue Sep 30 00:40:11 UTC 2025","passed","Tue Sep 30 00:40:11 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test retrieving users with invalid or non-existent IDs.","330","test_get_user_negative_cases[NON_EXISTENT_USER-NOT_FOUND]","tests","Tue Sep 30 00:40:07 UTC 2025","passed","Tue Sep 30 00:40:07 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test logout endpoint returns success.","178","test_logout_returns_success","tests","Tue Sep 30 00:40:17 UTC 2025","passed","Tue Sep 30 00:40:17 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","181","test_create_user_invalid_data[test_case5]","tests","Tue Sep 30 00:40:01 UTC 2025","passed","Tue Sep 30 00:40:01 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test that user deletion responds within acceptable time.","179","test_delete_user_response_time","tests","Tue Sep 30 00:40:20 UTC 2025","passed","Tue Sep 30 00:40:20 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test that logout responds within acceptable time.","179","test_logout_response_time","tests","Tue Sep 30 00:40:21 UTC 2025","passed","Tue Sep 30 00:40:21 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test login with empty JSON payload returns error.","179","test_login_with_empty_payload_returns_error","tests","Tue Sep 30 00:40:15 UTC 2025","passed","Tue Sep 30 00:40:16 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test that registration responds within acceptable time.","187","test_register_response_time","tests","Tue Sep 30 00:40:21 UTC 2025","passed","Tue Sep 30 00:40:21 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test retrieving an existing user by ID.","48","test_get_existing_user","tests","Tue Sep 30 00:40:06 UTC 2025","passed","Tue Sep 30 00:40:06 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","180","test_create_user_with_unicode_and_special_chars[SPECIAL_CHARS-Jos\xe9 Mar\xeda O'Connor-Smith]","tests","Tue Sep 30 00:40:02 UTC 2025","passed","Tue Sep 30 00:40:03 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test that users list responds within acceptable time.","37","test_get_users_list_response_time","tests","Tue Sep 30 00:40:19 UTC 2025","passed","Tue Sep 30 00:40:19 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test updating a user that doesn't exist.","188","test_update_non_existent_user","tests","Tue Sep 30 00:40:08 UTC 2025","passed","Tue Sep 30 00:40:08 UTC 2025","TestUserUpdate","test_api_endpoints","",""
