"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test retrieving users with invalid or non-existent IDs.","64415","test_get_user_negative_cases[NON_EXISTENT_USER-NOT_FOUND]","tests","Sun Oct 05 22:17:05 UTC 2025","failed","Sun Oct 05 22:18:09 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","22257","test_create_user_with_unicode_and_special_chars[SPECIAL_CHARS-Jos\xe9 Mar\xeda O'Connor-Smith]","tests","Sun Oct 05 22:05:54 UTC 2025","passed","Sun Oct 05 22:06:17 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","288407","test_create_user_with_unicode_and_special_chars[UNICODE_CHARS-\u5f20\u4e09\u674e\u56db]","tests","Sun Oct 05 22:06:17 UTC 2025","failed","Sun Oct 05 22:11:06 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","234","test_create_user_invalid_data[test_case3]","tests","Sun Oct 05 21:56:05 UTC 2025","passed","Sun Oct 05 21:56:06 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test users list endpoint.","33","test_get_users_list","tests","Sun Oct 05 22:11:21 UTC 2025","failed","Sun Oct 05 22:11:21 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test retrieving users with invalid or non-existent IDs.","64202","test_get_user_negative_cases[INVALID_USER-NOT_FOUND]","tests","Sun Oct 05 22:18:10 UTC 2025","failed","Sun Oct 05 22:19:14 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test successful user update.","285270","test_update_existing_user","tests","Sun Oct 05 22:11:24 UTC 2025","skipped","Sun Oct 05 22:16:09 UTC 2025","TestUserUpdate","test_api_endpoints","",""
"Test retrieving an existing user by ID.","64482","test_get_existing_user","tests","Sun Oct 05 22:16:00 UTC 2025","skipped","Sun Oct 05 22:17:04 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test updating a user that doesn't exist.","10012","test_update_non_existent_user","tests","Sun Oct 05 22:16:09 UTC 2025","passed","Sun Oct 05 22:16:19 UTC 2025","TestUserUpdate","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","9670","test_create_user_invalid_data[test_case5]","tests","Sun Oct 05 22:00:58 UTC 2025","passed","Sun Oct 05 22:01:07 UTC 2025","TestUserCreation","test_api_endpoints","",""
"","1000","GET /api/users","","Sun Oct 05 22:20:38 UTC 2025","passed","Sun Oct 05 22:20:39 UTC 2025","","Performance Tests","LocustLoadTest",""
"Test successful user creation with valid data.","287045","test_create_user_with_valid_data","tests","Sun Oct 05 21:56:05 UTC 2025","failed","Sun Oct 05 22:00:52 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test successful user deletion.","64648","test_delete_existing_user","tests","Sun Oct 05 22:16:22 UTC 2025","skipped","Sun Oct 05 22:17:27 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test user creation with additional fields.","286045","test_create_user_with_extra_fields","tests","Sun Oct 05 22:01:08 UTC 2025","failed","Sun Oct 05 22:05:54 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","47451","test_create_user_invalid_data[test_case2]","tests","Sun Oct 05 22:10:31 UTC 2025","passed","Sun Oct 05 22:11:19 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","286793","test_create_user_invalid_data[test_case1]","tests","Sun Oct 05 22:05:44 UTC 2025","skipped","Sun Oct 05 22:10:31 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","291026","test_create_user_invalid_data[test_case4]","tests","Sun Oct 05 21:56:06 UTC 2025","skipped","Sun Oct 05 22:00:57 UTC 2025","TestUserCreation","test_api_endpoints","",""
"","1000","GET /api/users/{id}","","Sun Oct 05 22:20:38 UTC 2025","passed","Sun Oct 05 22:20:39 UTC 2025","","Performance Tests","LocustLoadTest",""
"","1000","POST /api/users","","Sun Oct 05 22:20:38 UTC 2025","passed","Sun Oct 05 22:20:39 UTC 2025","","Performance Tests","LocustLoadTest",""
"Test user creation with empty string (should fail validation).","290930","test_create_user_with_empty_string","tests","Sun Oct 05 22:11:06 UTC 2025","failed","Sun Oct 05 22:15:57 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test deleting a user that doesn't exist.","65201","test_delete_non_existent_user","tests","Sun Oct 05 22:17:27 UTC 2025","failed","Sun Oct 05 22:18:32 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","290200","test_create_user_invalid_data[test_case0]","tests","Sun Oct 05 22:00:53 UTC 2025","skipped","Sun Oct 05 22:05:43 UTC 2025","TestUserCreation","test_api_endpoints","",""
