"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test API graceful degradation under high load.","72804","test_graceful_degradation_under_load","tests","Mon Sep 29 23:23:12 UTC 2025","passed","Mon Sep 29 23:24:24 UTC 2025","TestStressTesting","test_performance","",""
"Test various update scenarios including edge cases.","87","test_update_user_variations[test_case0]","tests","Mon Sep 29 23:14:35 UTC 2025","passed","Mon Sep 29 23:14:35 UTC 2025","TestUserUpdate","test_users_crud","",""
"Test authentication with malformed credentials.","87","test_malformed_credentials[malformed_credentials1]","tests","Mon Sep 29 23:13:33 UTC 2025","passed","Mon Sep 29 23:13:33 UTC 2025","TestAuthenticationEdgeCases","test_auth_login","",""
"Test login with missing password returns 400 error.","87","test_login_with_missing_password_returns_error","tests","Mon Sep 29 23:13:32 UTC 2025","passed","Mon Sep 29 23:13:32 UTC 2025","","test_auth_login","",""
"Test handling of expired or invalid tokens.","16","test_token_expiration_handling[eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.expired.signature]","tests","Mon Sep 29 23:13:32 UTC 2025","passed","Mon Sep 29 23:13:32 UTC 2025","TestTokenExpiration","test_auth_login","",""
"Test API behavior under extreme concurrent load.","30534","test_extreme_concurrent_load","tests","Mon Sep 29 23:22:41 UTC 2025","passed","Mon Sep 29 23:23:11 UTC 2025","TestStressTesting","test_performance","",""
"Test API throughput against SLA requirements.","60083","test_throughput_sla_compliance","tests","Mon Sep 29 23:13:38 UTC 2025","passed","Mon Sep 29 23:14:38 UTC 2025","TestSLABenchmarking","test_performance","",""
"Test user creation with various invalid data scenarios.","83","test_create_user_invalid_data[test_case4]","tests","Mon Sep 29 23:14:34 UTC 2025","passed","Mon Sep 29 23:14:34 UTC 2025","TestUserCreation","test_users_crud","",""
"Test API resilience to resource exhaustion attacks.","39","test_resource_exhaustion_resilience","tests","Mon Sep 29 23:23:11 UTC 2025","failed","Mon Sep 29 23:23:11 UTC 2025","TestStressTesting","test_performance","",""
"Test successful user update.","157","test_update_existing_user","tests","Mon Sep 29 23:14:35 UTC 2025","passed","Mon Sep 29 23:14:35 UTC 2025","TestUserUpdate","test_users_crud","",""
"Test that user creation responds within acceptable time.","88","test_create_user_response_time","tests","Mon Sep 29 23:13:35 UTC 2025","passed","Mon Sep 29 23:13:35 UTC 2025","TestUserResponseTimes","test_performance","",""
"Test retrieving users with invalid or non-existent IDs.","158","test_get_user_negative_cases[INVALID_USER-NOT_FOUND]","tests","Mon Sep 29 23:14:34 UTC 2025","passed","Mon Sep 29 23:14:35 UTC 2025","TestUserRetrieval","test_users_crud","",""
